Number of clusters: 1011
Cluster 670 has 40 data
Cluster 671 has 40 data
Cluster 672 has 81 data
Cluster 673 has 82 data
Cluster 674 has 21 data
Cluster 675 has 40 data
Cluster 676 has 41 data
Cluster 677 has 41 data
Cluster 678 has 41 data
Cluster 679 has 41 data
Cluster 680 has 41 data
Cluster 681 has 82 data
Cluster 682 has 41 data
Cluster 683 has 41 data
Cluster 684 has 41 data
Cluster 685 has 41 data
Cluster 686 has 123 data
Cluster 687 has 123 data
Cluster 688 has 41 data
Cluster 689 has 41 data
Cluster 690 has 41 data
Cluster 691 has 41 data
Cluster 692 has 39 data
Cluster 693 has 28 data
Cluster 694 has 82 data
Cluster 695 has 41 data
Cluster 696 has 41 data
Cluster 697 has 122 data
Cluster 698 has 41 data
Cluster 699 has 41 data
Cluster 700 has 41 data
Cluster 701 has 9 data
Cluster 702 has 41 data
Cluster 703 has 41 data
Cluster 704 has 12 data
Cluster 705 has 41 data
Cluster 706 has 41 data
Cluster 707 has 41 data
Cluster 708 has 205 data
Cluster 709 has 19 data
Cluster 710 has 41 data
Cluster 711 has 41 data
Cluster 712 has 41 data
Cluster 713 has 41 data
Cluster 714 has 41 data
Cluster 715 has 41 data
Cluster 716 has 39 data
Cluster 717 has 41 data
Cluster 718 has 41 data
Cluster 719 has 41 data
Cluster 720 has 41 data
Cluster 721 has 15 data
Cluster 722 has 41 data
Cluster 723 has 68 data
Cluster 724 has 140 data
Cluster 725 has 82 data
Cluster 726 has 41 data
Cluster 727 has 41 data
Cluster 728 has 266 data
Cluster 729 has 307 data
Cluster 730 has 41 data
Cluster 731 has 102 data
Cluster 732 has 23 data
Cluster 733 has 19 data
Cluster 734 has 41 data
Cluster 735 has 35 data
Cluster 736 has 41 data
Cluster 737 has 41 data
Cluster 738 has 41 data
Cluster 739 has 41 data
Cluster 740 has 41 data
Cluster 741 has 41 data
Cluster 742 has 41 data
Cluster 743 has 41 data
Cluster 744 has 79 data
Cluster 745 has 28 data
Cluster 746 has 41 data
Cluster 747 has 41 data
Cluster 748 has 41 data
Cluster 749 has 76 data
Cluster 750 has 41 data
Cluster 751 has 41 data
Cluster 752 has 41 data
Cluster 753 has 22 data
Cluster 754 has 41 data
Cluster 755 has 41 data
Cluster 756 has 81 data
Cluster 757 has 71 data
Cluster 758 has 46 data
Cluster 759 has 20 data
Cluster 760 has 96 data
Cluster 761 has 41 data
Cluster 762 has 12 data
Cluster 763 has 113 data
Cluster 764 has 205 data
Cluster 765 has 37 data
Cluster 766 has 5 data
Cluster 767 has 41 data
Cluster 768 has 82 data
Cluster 769 has 82 data
Cluster 770 has 6 data
Cluster 771 has 82 data
Cluster 772 has 82 data
Cluster 773 has 82 data
Cluster 774 has 82 data
Cluster 775 has 82 data
Cluster 776 has 82 data
Cluster 777 has 39 data
Cluster 778 has 41 data
Cluster 779 has 41 data
Cluster 780 has 41 data
Cluster 781 has 41 data
Cluster 782 has 41 data
Cluster 783 has 11 data
Cluster 784 has 41 data
Cluster 785 has 120 data
Cluster 786 has 41 data
Cluster 787 has 41 data
Cluster 788 has 26 data
Cluster 789 has 41 data
Cluster 790 has 17 data
Cluster 791 has 41 data
Cluster 792 has 41 data
Cluster 793 has 41 data
Cluster 794 has 41 data
Cluster 795 has 41 data
Cluster 796 has 41 data
Cluster 797 has 161 data
Cluster 798 has 41 data
Cluster 799 has 122 data
Cluster 800 has 122 data
Cluster 801 has 122 data
Cluster 802 has 41 data
Cluster 803 has 41 data
Cluster 804 has 41 data
Cluster 805 has 41 data
Cluster 806 has 41 data
Cluster 807 has 41 data
Cluster 808 has 41 data
Cluster 809 has 41 data
Cluster 810 has 10 data
Cluster 811 has 41 data
Cluster 812 has 41 data
Cluster 813 has 41 data
Cluster 814 has 41 data
Cluster 815 has 82 data
Cluster 816 has 82 data
Cluster 817 has 123 data
Cluster 818 has 41 data
Cluster 819 has 41 data
Cluster 820 has 41 data
Cluster 821 has 14 data
Cluster 822 has 41 data
Cluster 823 has 41 data
Cluster 824 has 41 data
Cluster 825 has 5 data
Cluster 826 has 5 data
Cluster 827 has 24 data
Cluster 828 has 41 data
Cluster 829 has 41 data
Cluster 830 has 82 data
Cluster 831 has 35 data
Cluster 832 has 41 data
Cluster 833 has 114 data
Cluster 834 has 246 data
Cluster 835 has 123 data
Cluster 836 has 82 data
Cluster 837 has 62 data
Cluster 838 has 222 data
Cluster 839 has 123 data
Cluster 840 has 82 data
Cluster 841 has 82 data
Cluster 842 has 82 data
Cluster 843 has 26 data
Cluster 844 has 82 data
Cluster 845 has 41 data
Cluster 846 has 11 data
Cluster 847 has 41 data
Cluster 848 has 41 data
Cluster 849 has 41 data
Cluster 850 has 82 data
Cluster 851 has 5 data
Cluster 852 has 41 data
Cluster 853 has 18 data
Cluster 854 has 41 data
Cluster 855 has 41 data
Cluster 856 has 26 data
Cluster 857 has 41 data
Cluster 858 has 82 data
Cluster 859 has 82 data
Cluster 860 has 82 data
Cluster 861 has 82 data
Cluster 862 has 82 data
Cluster 863 has 82 data
Cluster 864 has 82 data
Cluster 865 has 41 data
Cluster 866 has 41 data
Cluster 867 has 41 data
Cluster 868 has 41 data
Cluster 869 has 41 data
Cluster 870 has 41 data
Cluster 871 has 41 data
Cluster 872 has 41 data
Cluster 873 has 41 data
Cluster 874 has 41 data
Cluster 875 has 41 data
Cluster 876 has 41 data
Cluster 877 has 41 data
Cluster 878 has 41 data
Cluster 879 has 41 data
Cluster 880 has 6 data
Cluster 881 has 25 data
Cluster 882 has 41 data
Cluster 883 has 41 data
Cluster 884 has 41 data
Cluster 885 has 41 data
Cluster 886 has 41 data
Cluster 887 has 41 data
Cluster 888 has 41 data
Cluster 889 has 41 data
Cluster 890 has 41 data
Cluster 891 has 32 data
Cluster 892 has 41 data
Cluster 893 has 123 data
Cluster 894 has 10 data
Cluster 895 has 123 data
Cluster 896 has 123 data
Cluster 897 has 41 data
Cluster 898 has 41 data
Cluster 899 has 82 data
Cluster 900 has 41 data
Cluster 901 has 41 data
Cluster 902 has 41 data
Cluster 903 has 34 data
Cluster 904 has 40 data
Cluster 905 has 41 data
Cluster 906 has 41 data
Cluster 907 has 82 data
Cluster 908 has 41 data
Cluster 909 has 82 data
Cluster 910 has 82 data
Cluster 911 has 82 data
Cluster 912 has 123 data
Cluster 913 has 82 data
Cluster 914 has 82 data
Cluster 915 has 41 data
Cluster 916 has 82 data
Cluster 917 has 82 data
Cluster 918 has 82 data
Cluster 919 has 82 data
Cluster 920 has 82 data
Cluster 921 has 82 data
Cluster 922 has 82 data
Cluster 923 has 82 data
Cluster 924 has 40 data
Cluster 925 has 82 data
Cluster 926 has 44 data
Cluster 927 has 10 data
Cluster 928 has 28 data
Cluster 929 has 41 data
Cluster 930 has 41 data
Cluster 931 has 26 data
Cluster 932 has 41 data
Cluster 933 has 41 data
Cluster 934 has 41 data
Cluster 935 has 14 data
Cluster 936 has 41 data
Cluster 937 has 41 data
Cluster 938 has 41 data
Cluster 939 has 17 data
Cluster 940 has 41 data
Cluster 941 has 41 data
Cluster 942 has 41 data
Cluster 943 has 41 data
Cluster 944 has 41 data
Cluster 945 has 41 data
Cluster 946 has 41 data
Cluster 947 has 41 data
Cluster 948 has 6 data
Cluster 949 has 41 data
Cluster 950 has 41 data
Cluster 951 has 41 data
Cluster 952 has 41 data
Cluster 953 has 28 data
Cluster 954 has 41 data
Cluster 955 has 41 data
Cluster 956 has 12 data
Cluster 957 has 41 data
Cluster 958 has 5 data
Cluster 959 has 19 data
Cluster 960 has 41 data
Cluster 961 has 123 data
Cluster 962 has 82 data
Cluster 963 has 38 data
Cluster 964 has 41 data
Cluster 965 has 41 data
Cluster 966 has 41 data
Cluster 967 has 123 data
Cluster 968 has 41 data
Cluster 969 has 30 data
Cluster 970 has 41 data
Cluster 971 has 33 data
Cluster 972 has 9 data
Cluster 973 has 41 data
Cluster 974 has 41 data
Cluster 975 has 41 data
Cluster 976 has 41 data
Cluster 977 has 41 data
Cluster 978 has 41 data
Cluster 979 has 41 data
Cluster 980 has 41 data
Cluster 981 has 25 data
Cluster 982 has 41 data
Cluster 983 has 41 data
Cluster 984 has 41 data
Cluster 985 has 41 data
Cluster 986 has 41 data
Cluster 987 has 41 data
Cluster 988 has 41 data
Cluster 989 has 40 data
Cluster 990 has 41 data
Cluster 991 has 41 data
Cluster 992 has 41 data
Cluster 993 has 41 data
Cluster 994 has 41 data
Cluster 995 has 41 data
Cluster 996 has 123 data
Cluster 997 has 123 data
Cluster 998 has 82 data
Cluster 999 has 41 data
Cluster 1000 has 41 data
Cluster 1001 has 38 data
Cluster 1002 has 41 data
Cluster 1003 has 41 data
Cluster 1004 has 41 data
Cluster 1005 has 40 data
Cluster 1006 has 40 data
Cluster 1007 has 40 data
Cluster 1008 has 61 data
Cluster 1009 has 41 data
Cluster 1010 has 41 data
Cluster 1011 has 28 data
Noises: 488313
